controlNumber,prefLabel,scopeNote
217966,Afroamerikanska författare,Särsk Geqz; Gz (folkbibl)
231426,Afroamerikanska idrottare,Särsk Rbz.
218246,Afroamerikanska intellektuella,
168794,Afroamerikanska konstnärer,
218501,Afroamerikanska kvinnliga författare,"Särsk Geqz, Gz (folkbibl)"
167587,Afroamerikanska kvinnor,
236193,Afroamerikanska kvinnor i litteraturen,
387050,Afroamerikanska kvinnor i populärkulturen,
5pgf38vz3hbpsc1b,Afroamerikanska musiker,
174571,Afroamerikanska män,
168795,Afroamerikanska skulptörer,
8tf7htr962xw2bpr,Afroamerikanska skådespelare,
315159,Afroamerikanska soldater,Särsk Lz.
147521,Afroasiatiska språk,Tidigare även Hamitiska språk. Ändrat 2005-12-22.
337444,Afrobeat,
245048,Afrocentrism,
138966,Afrodisiaka,"- farmakologi Vd, - folkmedicin Mzb"
138967,Afroditekulten,
dsvw6nv1b8j0x8l9,Afrofuturism,
242798,Afroma,Musik från Malawi
242805,Afropop,
138968,Afrorock,
380743,Afrosvenskar,
357293,Afternoon tea,
138971,Aftonböner,
143353,Aga,
229265,Aga--juridik och lagstiftning,
257202,Agamer,
138972,Agaper,se även resp samfund med tillägg .03
138974,Agat,"- juvelerarkonst Ihea, - mineralogi Udubz"
t6k62lg1r81g9l32,Agau (språk),
167336,Agave,
167337,Agaveväxter,
373763,Agbadza,Gahna
138976,Agenda 21,
167816,Agenter (datorprogram),
161089,Agentfilm,
138978,Agentur,
138979,Agentur--juridik och lagstiftning,
143355,Aggregationstillstånden,"- kemi Uceea, - fysik Ucc."
138984,Aggression,"- psykologi Doga, - socialpsykologi Oaa"
138983,Aggression (folkrätt),
252063,Aggression hos barn,"- barnpsykologi Dofa, - personlighetspsykologi Doga."
287472,Aggression hos ungdomar,
9rc396xc7cvd2x64,Aggression i konsten,
